iter	MultiClass
0	1.001872994
1	0.924379613
2	0.8687026472
3	0.8251117445
4	0.7809335189
5	0.7396150171
6	0.7112356102
7	0.687981372
8	0.6571699917
9	0.6368254681
10	0.6143247021
11	0.6014570793
12	0.5905764188
13	0.5808620347
14	0.571860051
15	0.5625728616
16	0.5486350182
17	0.5362723599
18	0.53007196
19	0.5238794543
20	0.5131330504
21	0.5080502918
22	0.501185487
23	0.4986820325
24	0.4959000411
25	0.4921926145
26	0.4898464029
27	0.4844185965
28	0.4811124416
29	0.4780966103
30	0.4740542313
31	0.4718108774
32	0.4685291292
33	0.4670016168
34	0.4647962894
35	0.4620456851
36	0.4577945735
37	0.4567848379
38	0.4545943601
39	0.4526507607
40	0.4504052321
41	0.4483665177
42	0.4443832892
43	0.4417179008
44	0.439714935
45	0.4389408184
46	0.4375802677
47	0.435678556
48	0.4344129549
49	0.4332208762
50	0.4311502086
51	0.4295085063
52	0.4274227011
53	0.4259008799
54	0.4238415047
55	0.4231078832
56	0.4221955329
57	0.4212373204
58	0.4203305991
59	0.4189182338
60	0.4177815039
61	0.4163085333
62	0.4149400626
63	0.4140216861
64	0.4125808519
65	0.4117694245
66	0.4105756285
67	0.4097612512
68	0.4090263453
69	0.4080299362
70	0.4072776262
71	0.4057593417
72	0.404928868
73	0.404673776
74	0.4033495325
75	0.4023214814
76	0.401310895
77	0.4000142854
78	0.3990518664
79	0.3973853312
80	0.3963987373
81	0.3949534823
82	0.394089697
83	0.392164446
84	0.3916154022
85	0.3903056526
86	0.3893449772
87	0.3881758887
88	0.3874292368
89	0.3869553469
90	0.385762506
91	0.3850309137
92	0.3847247517
93	0.3832813365
94	0.3825108705
95	0.381392399
96	0.3810507553
97	0.3806185844
98	0.3801061233
99	0.3784866062
100	0.3777673401
101	0.3770708894
102	0.3762677528
103	0.3754267392
104	0.3748291065
105	0.3738444775
106	0.3724580474
107	0.3711449228
108	0.3701335306
109	0.3695863347
110	0.3685540528
111	0.3674874094
112	0.3666188343
113	0.3650378474
114	0.3644527784
115	0.3633955217
116	0.362480955
117	0.36177024
118	0.3601648887
119	0.358480591
120	0.3572108579
121	0.3555343612
122	0.3547636844
123	0.3536777232
124	0.352284783
125	0.3509808209
126	0.3500689907
127	0.3495578507
128	0.348987739
129	0.3483079754
130	0.3477001844
131	0.3469394958
132	0.3460309227
133	0.3451705801
134	0.3440955567
135	0.3429638612
136	0.3420263777
137	0.3409362742
138	0.3404147717
139	0.3394164126
140	0.3387599197
141	0.3379879224
142	0.3372645421
143	0.3368811894
144	0.336370735
145	0.3359777725
146	0.3353690964
147	0.3341747136
148	0.3323827073
149	0.3319742921
150	0.3307351577
151	0.329532881
152	0.328980962
153	0.3285886034
154	0.3282755518
155	0.3275802291
156	0.3268993621
157	0.3262642741
158	0.3255701253
159	0.3252224583
160	0.3243448258
161	0.3234708474
162	0.3228974106
163	0.3221311115
164	0.3216883754
165	0.320256711
166	0.319149772
167	0.3182518158
168	0.3176476421
169	0.3167713139
170	0.3161143161
171	0.3152102879
172	0.3147292936
173	0.3143009885
174	0.313501527
175	0.3126170858
176	0.3121018544
177	0.3114232149
178	0.3106907195
179	0.3101832809
180	0.3093697533
181	0.3080574254
182	0.3071016143
183	0.3067224145
184	0.3060144611
185	0.3049975921
186	0.3045649947
187	0.3035968785
188	0.3029399938
189	0.3022429428
190	0.301394665
191	0.3010459247
192	0.3004734294
193	0.2991904763
194	0.2987363256
195	0.2983086177
196	0.2972094151
197	0.2965960514
198	0.2961202851
199	0.2955886432
200	0.2946226001
201	0.2939522357
202	0.2933139777
203	0.2924016608
204	0.2915944691
205	0.2912379798
206	0.2906332189
207	0.2900348333
208	0.2893565585
209	0.2886658302
210	0.2878705812
211	0.2873071293
212	0.2865553373
213	0.2857287216
214	0.2848244504
215	0.2835839305
216	0.2826857885
217	0.2823304004
218	0.2817137449
219	0.2811367828
220	0.2804312128
221	0.2795401717
222	0.279062925
223	0.278481211
224	0.2778953855
225	0.2773190904
226	0.2767192456
227	0.2760250015
228	0.2756003683
229	0.2752348468
230	0.2744437504
231	0.2739824341
232	0.2736612016
233	0.2732004002
234	0.2725613475
235	0.2711772904
236	0.2701151666
237	0.2698192548
238	0.2691794722
239	0.2689325471
240	0.2685354758
241	0.2681304262
242	0.2677314777
243	0.2670383654
244	0.26629927
245	0.2657695851
246	0.2652553239
247	0.2649384104
248	0.2645933735
249	0.2641569491
250	0.2637336269
251	0.2633303519
252	0.2624925954
253	0.2622053897
254	0.261592776
255	0.2609578788
256	0.2604811179
257	0.2599714424
258	0.259629922
259	0.2593624804
260	0.2586075092
261	0.2581335271
262	0.2577915068
263	0.2568183377
264	0.2562714575
265	0.255425509
266	0.2550400145
267	0.2546868581
268	0.2545523175
269	0.2540299825
270	0.2536320802
271	0.2530022024
272	0.2524192659
273	0.2521141228
274	0.2519031904
275	0.2516193558
276	0.2512575319
277	0.2506886241
278	0.2504145289
279	0.2497437294
280	0.2492057394
281	0.248782896
282	0.2484502082
283	0.2482341263
284	0.2478468054
285	0.2474481498
286	0.2471442579
287	0.24686234
288	0.2462014938
289	0.2453921755
290	0.2445253927
291	0.2439190856
292	0.2436263578
293	0.2429783757
294	0.2426584038
295	0.2423232076
296	0.2419875606
297	0.2418783646
298	0.2414022067
299	0.2409225672
