iter	Passed	Remaining
0	5	1684
1	10	1554
2	14	1473
3	19	1455
4	24	1441
5	29	1422
6	34	1432
7	38	1421
8	43	1415
9	49	1423
10	59	1562
11	66	1598
12	74	1638
13	81	1660
14	88	1683
15	95	1700
16	103	1722
17	108	1696
18	113	1678
19	117	1651
20	123	1634
21	130	1652
22	136	1643
23	140	1620
24	145	1604
25	150	1585
26	154	1566
27	159	1548
28	164	1534
29	169	1527
30	175	1523
31	181	1521
32	187	1518
33	194	1518
34	200	1517
35	206	1514
36	212	1508
37	217	1501
38	223	1492
39	228	1487
40	234	1481
41	240	1474
42	244	1461
43	248	1447
44	252	1431
45	256	1415
46	260	1404
47	264	1390
48	268	1375
49	272	1361
50	276	1349
51	280	1337
52	284	1326
53	288	1314
54	293	1305
55	296	1293
56	301	1284
57	305	1274
58	309	1264
59	313	1255
60	317	1245
61	321	1234
62	325	1224
63	329	1213
64	332	1203
65	336	1193
66	340	1184
67	344	1175
68	349	1168
69	353	1161
70	357	1152
71	361	1143
72	365	1135
73	368	1125
74	372	1118
75	376	1110
76	380	1101
77	384	1093
78	388	1086
79	392	1079
80	396	1071
81	400	1063
82	404	1057
83	408	1050
84	412	1042
85	416	1035
86	420	1028
87	424	1022
88	428	1015
89	432	1008
90	436	1002
91	440	995
92	444	988
93	447	981
94	451	974
95	455	968
96	459	961
97	463	954
98	466	947
99	471	942
100	474	935
101	478	928
102	482	922
103	486	916
104	489	909
105	493	903
106	497	897
107	501	892
108	505	885
109	509	879
110	512	872
111	516	867
112	520	861
113	524	855
114	528	849
115	531	843
116	536	838
117	539	832
118	543	827
119	547	821
120	552	816
121	555	810
122	559	804
123	563	799
124	567	794
125	571	788
126	574	783
127	578	777
128	583	772
129	586	767
130	590	762
131	594	756
132	598	751
133	602	745
134	606	740
135	609	735
136	613	730
137	617	724
138	621	720
139	625	715
140	629	710
141	633	705
142	639	702
143	643	697
144	647	692
145	651	687
146	655	682
147	659	677
148	663	672
149	667	667
150	671	662
151	675	657
152	679	652
153	683	647
154	686	642
155	690	637
156	694	632
157	698	628
158	702	623
159	706	618
160	710	613
161	714	608
162	718	603
163	722	599
164	726	594
165	730	589
166	734	584
167	737	579
168	741	574
169	745	570
170	749	565
171	753	560
172	757	555
173	761	551
174	764	546
175	768	541
176	772	536
177	776	532
178	780	527
179	783	522
180	787	517
181	791	513
182	795	508
183	799	504
184	803	499
185	807	494
186	811	490
187	815	485
188	819	481
189	823	476
190	827	472
191	830	467
192	834	462
193	838	458
194	842	453
195	846	449
196	850	444
197	854	440
198	858	435
199	862	431
200	865	426
201	869	421
202	873	417
203	877	413
204	881	408
205	885	403
206	889	399
207	892	394
208	897	390
209	900	386
210	904	381
211	908	377
212	912	372
213	916	368
214	920	363
215	924	359
216	928	355
217	931	350
218	935	346
219	940	341
220	943	337
221	947	333
222	952	328
223	956	324
224	960	320
225	963	315
226	967	311
227	972	307
228	976	302
229	979	298
230	983	293
231	987	289
232	992	285
233	996	280
234	1000	276
235	1004	272
236	1008	268
237	1012	263
238	1015	259
239	1021	255
240	1025	250
241	1028	246
242	1032	242
243	1037	238
244	1041	233
245	1045	229
246	1048	225
247	1053	220
248	1057	216
249	1061	212
250	1065	207
251	1069	203
252	1074	199
253	1078	195
254	1082	191
255	1086	186
256	1091	182
257	1094	178
258	1099	174
259	1103	169
260	1107	165
261	1111	161
262	1115	156
263	1120	152
264	1124	148
265	1128	144
266	1133	140
267	1137	135
268	1141	131
269	1146	127
270	1151	123
271	1155	118
272	1159	114
273	1163	110
274	1168	106
275	1171	101
276	1176	97
277	1180	93
278	1185	89
279	1190	85
280	1194	80
281	1199	76
282	1203	72
283	1207	68
284	1212	63
285	1217	59
286	1221	55
287	1225	51
288	1229	46
289	1234	42
290	1238	38
291	1242	34
292	1247	29
293	1251	25
294	1255	21
295	1259	17
296	1264	12
297	1268	8
298	1271	4
299	1275	0
